depth_cm,Year,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,MBT5Me
0.25,2008,0.279025626,0.066313964,0.004562217,0.009489815,0.00065411,0.001868625,0.235613246,0.084884982,0.012711107,0.024771916,0.002507218,0,0.252888292,0.021192621,0.003516262,0.34486385
0.75,2001,0.279433779,0.063263227,0.001799723,0.0082766,0,0,0.235791953,0.082300255,0.012915669,0.024950353,0.002525434,0,0.2624086,0.022349891,0.003984515,0.353468622
1.25,1994,0.272158322,0.069248637,0.002404355,0.008229974,0,0,0.23830796,0.086795771,0.011880091,0.023375724,0.00263774,0,0.259917631,0.02144933,0.003594463,0.352977421
1.75,1987,0.266062889,0.066056598,0.002324021,0.006993311,0,0,0.234274153,0.085347169,0.012196555,0.020048691,0.00289245,0,0.277747996,0.022070994,0.003985173,0.37215498
2.25,1979,0.231233191,0.079792667,0.003257449,0.011419239,0.004537988,0.000484411,0.230813765,0.096160356,0.011523635,0.024636308,0.002969105,0,0.276676598,0.022559692,0.003935595,0.390311968
2.75,1972,0.190560746,0.099808065,0.001751246,0.008315428,0.000409592,0.000491976,0.214813328,0.113401316,0.010627401,0.021917875,0.002673173,0,0.308591386,0.022508023,0.004130443,0.446240513
3.25,1965,0.214442519,0.087465798,0.002082927,0.005849688,0,0,0.220342384,0.101023703,0.010890895,0.015927873,0.002541997,0,0.313992412,0.021447005,0.0039928,0.43233824
3.75,1958,0.243763455,0.083365582,0.002002839,0.004319755,0,0,0.225260031,0.090225712,0.012891262,0.014236653,0.002771874,0,0.296532711,0.020705413,0.003924713,0.399915081
4.25,1950,0.254643168,0.094902268,0.003965489,0.006433161,0.006292897,0.004895607,0.227931699,0.089741089,0.012347758,0.013942613,0.002740412,0,0.259312275,0.019569468,0.003282095,0.363104817
4.75,1943,0.256167289,0.095144326,0.003044458,0.003765434,0,0,0.228979533,0.101073611,0.013261228,0.01293135,0.003177446,0,0.259570349,0.019465758,0.003419218,0.361721824
5.25,1936,0.257001506,0.089527144,0.002804427,0.004202592,0,0,0.23649943,0.100756977,0.013402049,0.014516312,0.003166499,0,0.253256132,0.021319786,0.003547146,0.35428514
5.75,1929,0.255301719,0.091999342,0.002684622,0.004484575,0,0,0.238109498,0.088455713,0.013580804,0.014202196,0.002677352,0,0.26530726,0.019982497,0.003214421,0.362671976
6.25,1921,0.257265302,0.09233199,0.001911613,0.006884601,0,0,0.232417851,0.101183539,0.014574505,0.024180263,0.003399651,0,0.239217355,0.023048513,0.003584818,0.345212057
6.75,1915,0.2553194,0.09463131,0.002605112,0.008062688,0.000586778,0.000358899,0.214048601,0.105867345,0.011652332,0.029301651,0.002505481,0,0.250548146,0.021386024,0.003126234,0.363797662
7.25,1907,0.259111825,0.093755219,0.002939735,0.010236125,0.000396091,0.000313619,0.222816852,0.098663342,0.012224491,0.03370759,0.002519752,0,0.239797777,0.020495675,0.003021905,0.347625477
7.75,1900,0.235864014,0.090082308,0,0,0,0,0.231849726,0.105601471,0.015656626,0.027766332,0,0,0.26885575,0.024323773,0,0.377541131
8.25,1893,0.232541253,0.083442936,0,0,0,0,0.238541352,0.102456359,0.015421267,0.025942315,0,0,0.27083849,0.026047756,0.004768271,0.382733371
8.75,1886,0.24345365,0.08531482,0.002623357,0.006562155,0,0,0.233341587,0.103836925,0.013982379,0.025227702,0.003263917,0,0.255799885,0.022757321,0.003836302,0.36524063
9.25,1879,0.247266821,0.080726571,0.00221466,0.006081661,0.000622151,0.000524705,0.245999724,0.104049835,0.016243322,0.021999416,0.003327958,0,0.246058231,0.021548243,0.003336701,0.347161406
9.75,1872,0.24818462,0.097769699,0,0,0,0,0.228264685,0.10251634,0.013494074,0.029419634,0,0,0.253679033,0.026671914,0,0.363953021
10.25,1865,0.251054489,0.085245171,0,0,0,0,0.228393056,0.107169359,0.015551298,0.032399899,0,0,0.250427777,0.029758952,0,0.361444717
10.75,1860,0.261018535,0.07854386,0.00285214,0.009495889,0.000677567,0.000795874,0.232827624,0.104123219,0.013854582,0.032305239,0.002966967,0,0.235007185,0.022310783,0.003220536,0.339137197
11.25,1855,0.250147038,0.086028762,0,0,0,0,0.253721112,0.113791489,2.24E-14,0,0,0,0.296311599,0,0,0.370306296
11.75,1846,0.233995132,0.068258034,0.00278387,0.006461764,0.000611082,0.000504118,0.227936305,0.101932405,0.015924518,0.024793122,0.003153622,0,0.282486577,0.027186621,0.003972831,0.396266889
