Depth	Ia	 Ib	Ic	IIa5	IIa6	IIb5	IIb6	IIc5	IIc6	IIIa5	IIIa6	IIIb5	IIIb6	IIIc5	IIIc6	percentTerrestrial
404	27	10.7	5.5	9.6	7.5	6.6	9.4	0.9	2.6	8.3	10.2	0.7	1.1	0	0	66.6
401	26.1	11.7	6.2	6.6	8.8	7	9.6	0.7	3.1	8.4	11.7	0	0	0	0	59.8
400	27	11.2	6	7.6	7.8	4.6	11.7	0.8	2.8	7.8	10.8	0.8	1.1	0	0	63.1
399	27.2	10.5	5.2	10.1	7.2	6.9	9.4	0.9	2.6	8.1	10.1	0.8	1.1	0	0	69.1
398	29.4	9.9	5	8.9	7.8	6.5	9.5	0.8	2.3	7.5	10.6	0.7	1	0	0	75.1
396	24.7	11.5	5.7	7.7	7.7	7	10.5	0.8	2.7	7.9	11.9	0.7	1.2	0	0	60.2
394	24.9	11.8	6.1	6	7.8	6.6	12.8	0.7	3	7.6	10	0.8	1.2	0.2	0.4	57.7
390	25.6	10.5	6.1	6.8	7.3	6.4	12.1	0.8	2.8	7.4	11.9	0.8	1.2	0.2	0.4	61.4
386	23.5	11.4	5.5	12.4	8.4	7.3	9.3	1	2.7	9	9.3	0	0	0	0	58.6
385	29.5	10.3	3.8	20	6.8	6	6.5	0	0	10.2	7	0	0	0	0	81.3
384	28.6	9.9	4	20	8.1	5.8	5.9	0	0	10.1	7.7	0	0	0	0	79.6
383	27	9.5	3.7	21.8	7.1	6.8	5.1	1.1	1.2	10	6.6	0	0	0	0	79.5
382	27.7	9.8	3.8	20.8	8.5	6.6	5.8	0	0	10	7	0	0	0	0	79.5
381	28.8	9	3.7	21.6	6.6	6	6.3	0.9	1.4	9	5.6	0.4	0.6	0	0	83.7
380	27.6	9.4	3.4	21.9	6.8	6.8	5.8	0.9	1.4	9.8	6.3	0	0	0	0	82.8
379	31.1	10.3	4	18.7	6.8	6	6.5	0	0	9.4	7.3	0	0	0	0	82.3
378	32.6	12.1	6.4	12.6	6.1	5.9	7.6	0.8	2.1	7.2	6.6	0	0	0	0	69.2
376	35.9	11.8	6	11.1	6.1	6	8.1	0.8	1.9	5.8	5.4	0.4	0.8	0	0	76.2
374	29.4	10.7	4.9	16.4	8	5.9	8.2	0	0	9.2	7.4	0	0	0	0	74.2
371	26.6	10.8	5.4	10.3	6.9	7	11.3	0.9	0	8.2	10.7	0.8	1.1	0	0	66.2
369	27.7	10.7	5.8	10.5	6.6	6.8	10.4	0.9	2.5	7	9.5	0.7	1	0	0	66.2
367	24.7	11.2	5.5	8.2	7.4	7.2	12.4	0.8	3.1	7	10.1	0.7	1.1	0.2	0.4	61.6
365	25.9	10.1	5.8	10.5	7.1	7.1	10.5	0.9	2.9	7.2	9.9	0.8	1.3	0	0	63.9
363	26.7	10.4	5	9.7	6.3	7.7	10.5	0.9	2.9	7.7	10.4	0.7	1.2	0	0	69.4
362	24.9	10.7	5.1	8.3	7.6	6.6	11.4	0.9	3.1	7.9	11.2	0.9	1.3	0	0	65
361	25.9	9.8	5.3	9.1	7.5	6.5	11.3	0.9	2.8	7.8	11	0.9	1.3	0	0	67.5
360	26.5	10.5	5.4	11	6.8	6.4	10.2	0.8	2.6	7.6	10.1	0.8	1.2	0	0	66.8
