ID,Lake,Latitude,Longitude,Core.Depth,Area,Max.depth,pH,Conductivity,Mixing,Nutrients,ReportedMAAT,MAT,MAT_0,MAP,Outliers,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,MBT5Me,MBT6Me,CBT,IR,fC,Source
LS1,Flatworm Lake,7.32175,134.5060667,4.1,0.005,4,8,NA,Holomictic,NA,NA,27.544,27.544,3245.286494,0,0.01263735,0.012154265,0.000167021,0.000256911,0,0,0.076802451,0.079235275,0.008062248,0.006423933,0.000771893,0.000387396,0.662637089,0.094608176,0.045855992,0.891736963,0.891428712,-0.718897769,0.500797233,0.100562383,UA
LS2,Black Lake,37.80805556,-118.5727778,0,NA,20,NA,NA,NA,NA,NA,7.875833333,9.616,225.72,0,0.106356764,0.145187129,0.012273664,0.012421118,0.002436739,0.009044674,0.129047173,0.155613871,0.060970947,0.10153577,0.014840362,0.024599813,0.122814121,0.073931896,0.028925961,0.432282989,0.359345278,0.080594454,0.57582662,0.159182035,UA
LS4,Big Croc Lake,7.154433333,134.36965,20,NA,22,NA,NA,Meromictoc,NA,NA,27.56,27.56,3220.151737,0,0.020250599,0.011210458,0.002288627,0.006737054,0.00000953,0.001043093,0.083812897,0.06533858,0.014965462,0.009633001,0.001209383,0.000598119,0.591286261,0.130546362,0.061070574,0.868028923,0.900835919,-0.674140297,0.419967937,0.140310692,UA
LS5,Ghayal ba Wazir,14.7708,49.3742,NA,NA,NA,NA,NA,NA,NA,NA,26.347,26.347,69.44406805,0,0.006262856,0.015311522,0.0000375,0.000789243,0.000403484,0.000187667,0.043432341,0.098140327,0.015557574,0.012023183,0.000551532,0.000854926,0.35817346,0.28677356,0.161500792,0.925143137,0.865358991,-0.152675021,0.657874888,0.319580569,UA
LS6,Lake Adley,46.13381666,-95.3361,3.8,0.88,5.9,8.2,NA,NA,NA,NA,5.189166667,14.12428571,665.27,0,0.087953282,0.092778506,0.008082858,0.008431166,0.00065769,0.000316275,0.17395093,0.174063653,0.087051492,0.065006709,0.005857578,0.002290157,0.187281522,0.086866999,0.019411185,0.456891308,0.469388682,-0.106797192,0.487436309,0.142527583,UA
LS7,Simon Lake,46.39243333,-81.20264167,11.6,1.02,12,7.4,1098.7,NA,NA,NA,4.814548122,11.37023327,782.6508606,0,0.125638374,0.065018486,0.0047137,0.004787224,0.000255583,0.0000794,0.245849983,0.159770979,0.057871494,0.042919296,0.005604157,0.000724736,0.210984474,0.066120178,0.009661977,0.400441315,0.517185495,-0.322215031,0.38404937,0.094647414,UA
LS8,Hot Water Lake,7.15095,134.3503833,34,NA,36,NA,NA,Meromictic,NA,NA,27.56,27.56,3220.151737,0,0.013790352,0.010282314,0.000188407,0.000240277,0.001192992,0.000255532,0.068500193,0.071361392,0.013543211,0.015758332,0.001705583,0.000842112,0.606446736,0.130282558,0.065610009,0.893301458,0.891744401,-0.625833891,0.504057949,0.146048309,UA
LS9,Lake Monoun,5.58,10.587,NA,NA,95,7.5,0,NA,NA,NA,22.1204806,22.1204806,1979.733086,0,0.026625932,0.02132895,0.000564086,0.00059446,0.0000622,0.0000148,0.190736917,0.116521312,0.016868333,0.01454618,0.002628423,0.000666055,0.533741548,0.061816927,0.013283858,0.72216992,0.799804678,-0.656429432,0.39416853,0.06017216,UA
LS10,Emerald Lake,40.468191,-121.519061,7.8,NA,NA,NA,NA,NA,NA,NA,4.235,7.47875,3077.61,0,0.326118007,0.060957814,0.004580558,0.001552022,0,0,0.235739544,0.113731577,0.038593136,0.011384529,0.005281516,0.005281516,0.163318962,0.026603628,0.006857191,0.246829228,0.513981661,-0.575041465,0.236577366,0.045914407,UA
LS11,Battle Lake,72.59166667,-77.96675,8.55,NA,NA,NA,NA,NA,NA,NA,-15.919,2.5288,225.9957643,0,0.402822396,0.076818503,0.00510673,0.003808813,0,0,0.214548981,0.113564514,0.02343835,0.005595995,0.005705202,0.0000568,0.133712785,0.010756463,0.004064496,0.188173779,0.431141493,-0.574564142,0.234203692,0.02431681,UA
