label,No,Latitude,Longitude,MBT5Me,IR6Me,Seasonality,MAT,MAP,MAT_0,SoP,CV_rainfall,Altitude,SoilPh
Australia-17,1,-34.72,148.33,0.75,0.5,16.14782609,14.52536232,622.5252174,14.52536232,11.38,0.41,472,6.4
Australia-4,2,-26.72,150.36,0.65,0.51,14.70086957,19.23818841,636.9304348,19.23818841,44.59,1.26,304,6.6
Brazil-12,3,-2.6,-54.95,0.95,0.7,1.673913043,26.44101449,1935.458261,26.44101449,154.55,1.7,60,6.2
Brazil-14,5,-15.6,-47.7,0.93,0.56,3.505217391,21.9357971,1506.422609,21.9357971,143.15,2.11,1010,4
Brazil-28,6,-12,-50,0.97,0.62,2.544347826,26.78492754,1830.750435,26.78492754,164.42,2.06,200,5.9
Brazil-6,7,-22.55,-50.32,0.94,0.64,8.023478261,21.57753623,1348.894783,21.57753623,88.09,1.42,562,5.2
Cameroon-1,8,4.23,9.33,0.92,0.5,2.543478261,23.80036232,2724.311304,23.80036232,214.03,1.78,1200,6.4
Canada-14,9,45.42,-63.42,0.62,0.06,25.01565217,5.342898551,1199.544348,10.59967391,24.07,0.44,100,4
Canada-17,10,49.95,-98.18,0.45,0.68,36.73826087,2.773768116,512.5504348,12.63192547,40.28,1.48,256,7.7
Canada-24,11,49.25,-122.38,0.53,0.12,16.1626087,8.247246377,2016.446957,8.247246377,106.26,1.26,180,5
China-19,12,18.9,109.5,0.96,NaN,8.449565217,23.41246377,2055.264348,23.41246377,213.11,2.07,770,4.6
China-20,13,18.77,110.33,0.93,NaN,8.431304348,24.66855072,2065.969565,24.66855072,218.82,2.07,40,3.9
China-23,14,28.22,116.92,0.92,0.61,22.86434783,18.01818841,1744.724348,18.01818841,167.54,1.74,50,4.5
China-25,15,28.48,116.27,0.9,0.54,23.36434783,18.05942029,1681.067826,18.05942029,159.19,1.76,30,5.5
China-27,16,27.09,117.75,0.88,0.35,19.79304348,17.49724638,1759.942609,17.49724638,176.02,1.79,700,4.7
China-31,17,24.38,114.28,0.93,0.51,16.04173913,19.86623188,1788.291304,19.86623188,158.48,1.78,250,6.1
China-32,18,23.65,113.65,0.94,0.55,15.25652174,20.82630435,1836.46087,20.82630435,162.12,1.79,250,4.3
China-4,19,28.2,113.83,0.91,0.49,23.2573913,16.48297101,1464.333043,16.48297101,105.22,1.42,40,4.9
China-49,20,26.38,106.43,0.83,0.59,17.92173913,15.75644928,1160.855652,15.75644928,118.41,2.03,1290,6.5
China-6,21,24.82,110.52,0.89,0.62,18.94695652,18.82398551,1661.723478,18.82398551,155.91,1.77,150,7.1
China-MG,22,29.62,102.17,0.539444444,0.47,17.03652174,11.01130435,934.5834783,11.01130435,102.3,2.23,NaN,6.190277778
China-MG2,23,29.58,102,0.436111111,0.28,16.18086957,2.534710145,740.2373913,6.871552795,93.96,2.49,NaN,6.511111111
China-MG3049,24,29.58,101.2,0.48,0.04,16.03478261,8.272391304,797.02,9.065849802,92.64,2.35,NaN,4.5
ChinaP609,25,32.43,83.22,0.32,0.88,23.49043478,-3.792101449,455.6947826,6.185434783,56.06,2.2,4456,8.16
ChinaP622,26,31.75,86.8,0.44,0.9,21.9773913,-2.452028986,650.7443478,5.818434783,104.91,2.8,4622,8.22
